Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
James Harden,8,31,TOT,24,24,37.6,7.6,15.8,0.48200000000000004,3.0,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1.0,0.8,4.3,2.3,24.5,24.2,0.648,0.5,0.434,2.3,18.5,10.7,44.7,1.3,1.7,18.5,26.5,3.3,0.9,4.1,0.22,6.0,-0.2,5.8,1.8
James Harden,8,31,TOT,24,24,37.6,7.6,15.8,0.48200000000000004,3.0,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1.0,0.8,4.3,2.3,24.5,22.7,0.613,0.5329999999999999,0.444,1.8,13.3,7.5,46.8,1.1,1.8,17.4,28.7,0.8,0.3,1.1,0.19,5.6,-1.0,4.6,0.5
James Harden,8,31,TOT,24,24,37.6,7.6,15.8,0.48200000000000004,3.0,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1.0,0.8,4.3,2.3,24.5,24.9,0.6679999999999999,0.48200000000000004,0.429,2.5,20.9,12.3,43.7,1.4,1.6,19.2,25.4,2.5,0.5,3.0,0.235,6.2,0.1,6.4,1.3
James Harden,8,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9.0,0.34700000000000003,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,24.2,0.648,0.5,0.434,2.3,18.5,10.7,44.7,1.3,1.7,18.5,26.5,3.3,0.9,4.1,0.22,6.0,-0.2,5.8,1.8
James Harden,8,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9.0,0.34700000000000003,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,22.7,0.613,0.5329999999999999,0.444,1.8,13.3,7.5,46.8,1.1,1.8,17.4,28.7,0.8,0.3,1.1,0.19,5.6,-1.0,4.6,0.5
James Harden,8,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9.0,0.34700000000000003,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,24.9,0.6679999999999999,0.48200000000000004,0.429,2.5,20.9,12.3,43.7,1.4,1.6,19.2,25.4,2.5,0.5,3.0,0.235,6.2,0.1,6.4,1.3
James Harden,8,31,BRK,16,16,38.3,7.7,15.3,0.502,3.0,7.4,0.40700000000000003,4.7,7.9,0.591,0.6,5.9,6.6,0.905,0.8,7.6,8.4,11.8,1.1,0.8,4.3,2.6,24.3,24.2,0.648,0.5,0.434,2.3,18.5,10.7,44.7,1.3,1.7,18.5,26.5,3.3,0.9,4.1,0.22,6.0,-0.2,5.8,1.8
James Harden,8,31,BRK,16,16,38.3,7.7,15.3,0.502,3.0,7.4,0.40700000000000003,4.7,7.9,0.591,0.6,5.9,6.6,0.905,0.8,7.6,8.4,11.8,1.1,0.8,4.3,2.6,24.3,22.7,0.613,0.5329999999999999,0.444,1.8,13.3,7.5,46.8,1.1,1.8,17.4,28.7,0.8,0.3,1.1,0.19,5.6,-1.0,4.6,0.5
James Harden,8,31,BRK,16,16,38.3,7.7,15.3,0.502,3.0,7.4,0.40700000000000003,4.7,7.9,0.591,0.6,5.9,6.6,0.905,0.8,7.6,8.4,11.8,1.1,0.8,4.3,2.6,24.3,24.9,0.6679999999999999,0.48200000000000004,0.429,2.5,20.9,12.3,43.7,1.4,1.6,19.2,25.4,2.5,0.5,3.0,0.235,6.2,0.1,6.4,1.3
Gary Harris,8,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7,9.3,0.544,0.48100000000000004,0.192,2.5,6.6,4.6,7.2,1.4,0.7,7.6,13.7,0.4,0.3,0.7,0.061,-2.1,-1.5,-3.6,-0.2
Jalen Harris,8,22,TOR,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,-10.5,0.0,0.0,0.0,26.7,0.0,13.8,0.0,0.0,0.0,100.0,10.7,0.0,0.0,0.0,-0.2,-16.5,-4.8,-21.2,0.0
Shaquille Harrison,8,27,UTA,16,0,3.4,0.4,1.2,0.316,0.0,0.1,0.0,0.4,1.1,0.33299999999999996,0.316,0.3,0.4,0.833,0.2,0.4,0.6,0.5,0.1,0.0,0.3,0.2,1.1,7.0,0.39299999999999996,0.053,0.316,6.2,11.3,8.8,20.0,1.8,0.0,18.8,21.2,-0.1,0.1,0.0,-0.019,-6.4,-1.2,-7.6,-0.1
Tyler Herro,8,21,MIA,20,14,34.4,6.5,14.8,0.43700000000000006,2.1,6.2,0.33899999999999997,4.4,8.6,0.509,0.508,2.0,2.5,0.78,0.5,5.9,6.3,3.9,0.5,0.5,2.6,1.7,17.0,12.1,0.535,0.42,0.16899999999999998,1.6,18.1,10.3,18.8,0.6,1.5,14.1,23.9,-0.4,0.7,0.3,0.021,-1.2,-1.4,-2.6,-0.1
Buddy Hield,8,28,SAC,27,27,34.8,5.3,14.1,0.377,3.9,10.4,0.377,1.4,3.7,0.376,0.516,1.5,1.7,0.872,0.4,4.4,4.8,3.0,0.9,0.3,2.0,2.7,16.1,10.7,0.54,0.736,0.12300000000000001,1.2,14.1,7.6,11.9,1.2,0.8,11.6,20.7,0.1,0.1,0.2,0.009000000000000001,-0.7,-2.0,-2.8,-0.2
Nate Hinton,8,21,DAL,6,0,3.2,0.5,2.2,0.231,0.2,0.8,0.2,0.3,1.3,0.25,0.26899999999999996,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3,-6.5,0.28800000000000003,0.385,0.154,0.0,0.0,0.0,0.0,2.6,5.0,12.6,36.6,-0.2,0.0,-0.2,-0.441,-12.2,-5.6,-17.8,-0.1
Justin Holiday,8,31,IND,29,20,32.2,4.0,8.5,0.466,2.4,5.8,0.419,1.6,2.8,0.563,0.607,1.2,1.5,0.7909999999999999,0.7,3.5,4.2,1.7,1.2,0.3,0.7,2.3,11.5,12.4,0.628,0.6759999999999999,0.174,2.5,11.9,7.3,7.0,1.8,0.9,7.3,13.3,1.3,0.9,2.2,0.114,0.4,0.1,0.5,0.6
