Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Blake Griffin,4,31,DET,20,20,31.3,4.1,11.1,0.365,2.0,6.2,0.315,2.1,4.9,0.429,0.45299999999999996,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3,10.0,0.491,0.5589999999999999,0.27899999999999997,1.2,18.1,9.3,18.8,1.1,0.3,11.4,19.4,-0.1,0.5,0.4,0.027000000000000003,-1.5,-1.1,-2.6,-0.1
Rui Hachimura,4,22,WAS,19,19,29.2,4.7,10.3,0.45399999999999996,0.8,2.6,0.3,3.9,7.7,0.507,0.49200000000000005,3.1,3.9,0.784,1.2,4.3,5.4,2.0,0.6,0.1,1.0,2.1,13.2,12.9,0.5489999999999999,0.255,0.37799999999999995,4.0,15.8,9.7,9.9,1.0,0.3,7.7,18.4,0.6,0.3,0.8,0.071,-1.0,-2.0,-3.0,-0.1
Tobias Harris,4,28,PHI,26,26,34.5,8.0,15.4,0.518,1.8,4.2,0.426,6.2,11.2,0.551,0.575,3.1,3.5,0.9,1.3,6.5,7.7,3.1,0.8,0.8,2.0,2.1,20.8,19.7,0.615,0.27,0.225,4.2,19.9,12.3,14.3,1.1,2.2,10.8,23.2,1.9,1.1,3.0,0.16,2.9,-0.1,2.8,1.1
Juan Hernangomez,4,25,MIN,13,6,18.6,2.3,5.8,0.4,1.1,3.4,0.318,1.2,2.4,0.516,0.493,0.7,1.1,0.643,1.0,4.0,5.0,0.5,0.4,0.2,0.5,0.9,6.4,10.5,0.511,0.5870000000000001,0.187,5.5,24.4,14.4,4.1,1.0,0.7,6.9,15.1,0.1,0.2,0.2,0.046,-2.2,-2.3,-4.5,-0.2
Solomon Hill,4,29,ATL,28,1,19.0,1.5,4.3,0.358,1.0,3.2,0.322,0.5,1.1,0.467,0.479,0.3,0.4,0.8,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4,6.4,0.494,0.75,0.083,2.3,10.8,6.6,6.1,1.6,1.0,10.8,11.2,-0.1,0.4,0.3,0.028999999999999998,-2.9,0.1,-2.8,-0.1
Cameron Johnson,4,24,PHO,27,9,25.4,3.8,8.6,0.43799999999999994,2.2,5.9,0.369,1.6,2.7,0.589,0.564,1.0,1.1,0.871,0.6,3.0,3.6,1.5,0.6,0.3,0.8,1.3,10.7,13.2,0.588,0.687,0.133,2.8,12.8,7.9,8.3,1.2,1.0,7.8,17.5,0.8,0.7,1.5,0.105,1.1,-0.4,0.7,0.5
James Johnson,4,33,DAL,23,0,18.4,2.6,5.3,0.488,0.6,2.2,0.28,2.0,3.2,0.63,0.545,0.6,1.0,0.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4,12.3,0.55,0.40700000000000003,0.195,2.8,15.6,9.2,12.4,2.3,4.3,15.8,16.4,0.0,0.5,0.5,0.052000000000000005,-2.0,1.9,-0.1,0.2
Stanley Johnson,4,24,TOR,25,1,14.7,1.0,2.5,0.40299999999999997,0.6,1.5,0.405,0.4,1.0,0.4,0.524,0.4,0.6,0.7859999999999999,0.6,2.0,2.5,1.4,0.8,0.3,0.7,1.7,3.0,9.6,0.5579999999999999,0.597,0.226,4.1,15.2,9.5,12.7,2.7,2.2,20.9,10.0,0.2,0.5,0.6,0.084,-2.5,2.0,-0.5,0.1
Mfiondu Kabengele,4,23,LAC,17,0,4.1,0.4,1.4,0.261,0.1,0.7,0.16699999999999998,0.2,0.6,0.364,0.304,0.2,0.2,0.75,0.1,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.0,-0.8,0.34299999999999997,0.522,0.174,1.7,15.8,9.0,5.5,1.4,2.6,16.8,19.1,-0.3,0.1,-0.2,-0.121,-11.3,-2.1,-13.4,-0.2
Maxi Kleber,4,29,DAL,17,11,25.6,2.2,5.1,0.43,1.7,3.8,0.45299999999999996,0.5,1.3,0.364,0.599,1.0,1.1,0.9440000000000001,0.9,4.4,5.4,1.5,0.4,0.8,0.6,2.4,7.1,11.4,0.639,0.7440000000000001,0.209,4.0,19.0,11.5,7.6,0.7,2.8,9.6,10.5,0.7,0.3,1.0,0.106,-0.3,-0.6,-0.8,0.1
Nathan Knight,4,23,ATL,9,0,6.0,1.0,2.4,0.409,0.3,1.0,0.33299999999999996,0.7,1.4,0.462,0.47700000000000004,0.8,0.9,0.875,0.9,0.7,1.6,0.1,0.2,0.3,0.4,0.8,3.1,16.9,0.5489999999999999,0.409,0.364,16.2,11.8,14.0,2.8,1.8,4.8,13.6,23.3,0.1,0.1,0.1,0.102,-0.3,-0.6,-1.0,0.0
Luke Kornet,4,25,CHI,6,0,7.2,0.5,2.3,0.214,0.2,1.8,0.091,0.3,0.5,0.667,0.25,0.3,0.3,1.0,0.0,1.5,1.5,0.3,0.3,0.2,0.2,0.2,1.5,3.7,0.302,0.7859999999999999,0.14300000000000002,0.0,22.9,11.6,5.8,2.2,2.1,6.3,15.7,-0.1,0.1,-0.1,-0.075,-5.4,-0.4,-5.8,0.0
Rodions Kurucs,4,22,BRK,5,0,3.2,0.2,0.6,0.33299999999999996,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6,3.2,0.38299999999999995,0.7,0.1,2.9,14.6,8.8,7.0,3.2,2.4,25.1,16.3,-0.2,0.1,-0.1,-0.079,-8.5,1.9,-6.6,-0.1
Rodions Kurucs,4,22,BRK,5,0,3.2,0.2,0.6,0.33299999999999996,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6,7.6,0.5,0.667,0.0,0.0,19.9,10.5,14.9,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.075,-1.2,0.4,-0.8,0.0
