Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
George Hill,5,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8,16.0,0.63,0.475,0.20800000000000002,2.3,5.9,4.1,17.9,1.5,0.5,8.4,16.8,0.8,0.3,1.1,0.13699999999999998,0.9,-0.5,0.4,0.2
Aaron Holiday,5,24,IND,29,6,19.9,2.8,7.6,0.37,1.1,3.2,0.33299999999999996,1.7,4.3,0.397,0.441,0.8,1.0,0.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4,7.1,0.46399999999999997,0.425,0.132,1.2,6.2,3.7,12.6,1.2,0.6,9.0,19.2,-0.5,0.3,-0.1,-0.012,-4.1,-1.8,-5.9,-0.6
Jrue Holiday,5,30,MIL,23,23,32.5,6.5,13.0,0.502,1.9,4.8,0.387,4.7,8.2,0.569,0.574,1.5,1.9,0.7909999999999999,1.3,3.5,4.8,5.4,1.9,0.6,1.6,1.7,16.4,19.9,0.593,0.371,0.14400000000000002,4.2,11.2,7.8,22.5,2.8,1.7,10.2,19.9,1.9,0.9,2.8,0.18,2.7,1.1,3.8,1.1
Kyrie Irving,5,28,BRK,20,20,35.4,10.7,20.0,0.534,3.1,6.9,0.442,7.6,13.1,0.5820000000000001,0.61,3.9,4.3,0.9179999999999999,0.9,3.7,4.6,5.7,1.1,0.8,2.4,3.0,28.3,25.3,0.647,0.34600000000000003,0.213,3.0,11.1,7.3,26.6,1.4,1.7,9.9,29.6,2.6,0.4,3.0,0.203,6.1,-0.8,5.3,1.3
Frank Jackson,5,22,DET,7,0,5.6,0.6,2.3,0.25,0.4,1.4,0.3,0.1,0.9,0.16699999999999998,0.344,0.0,0.0,0.0,0.0,0.7,0.7,1.1,0.1,0.0,0.6,0.6,1.6,1.5,0.344,0.625,0.0,0.0,15.0,7.2,30.0,1.3,0.0,20.0,22.2,-0.1,0.0,-0.1,-0.14300000000000002,-7.0,-2.2,-9.2,-0.1
LeBron James,5,36,LAL,29,29,34.7,9.4,18.8,0.504,2.5,6.7,0.37799999999999995,6.9,12.1,0.573,0.5710000000000001,4.2,6.0,0.711,0.6,7.6,8.2,7.9,1.0,0.5,3.7,1.6,25.7,24.2,0.6,0.355,0.318,2.0,23.6,13.2,38.4,1.4,1.3,14.8,31.4,2.3,1.9,4.2,0.2,5.8,1.3,7.2,2.3
Tre Jones,5,21,SAS,9,0,3.0,0.7,1.3,0.5,0.1,0.1,1.0,0.6,1.2,0.455,0.542,0.6,0.6,1.0,0.4,0.0,0.4,0.1,0.0,0.0,0.2,0.2,2.0,19.6,0.634,0.083,0.41700000000000004,14.9,0.0,7.7,5.8,0.0,0.0,12.3,25.7,0.1,0.0,0.1,0.151,2.7,-4.3,-1.5,0.0
Tyus Jones,5,24,MEM,24,8,23.5,3.3,8.0,0.406,0.7,2.8,0.25,2.5,5.2,0.49200000000000005,0.451,0.5,0.6,0.8,0.6,2.1,2.8,5.3,1.3,0.1,1.0,0.5,7.7,14.2,0.466,0.354,0.078,2.8,10.2,6.4,30.5,2.7,0.5,10.4,16.7,0.4,0.5,1.0,0.083,-0.8,0.3,-0.6,0.2
Cory Joseph,5,29,SAC,27,1,19.8,2.7,5.7,0.47100000000000003,0.7,2.0,0.327,2.0,3.7,0.55,0.529,0.7,1.0,0.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8,10.8,0.551,0.355,0.174,2.2,9.3,5.7,16.4,2.0,0.9,14.8,15.6,0.3,0.1,0.4,0.034,-3.1,-0.5,-3.5,-0.2
Jalen Lecque,5,20,IND,3,0,3.0,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,0.33299999999999996,0.25,1.0,1.0,1.0,0.3,1.0,1.3,0.7,0.0,0.0,0.0,0.0,1.7,24.2,0.47,0.25,0.75,12.4,36.2,24.5,29.2,0.0,0.0,0.0,25.7,0.0,0.0,0.0,0.22899999999999998,2.9,-0.3,2.6,0.0
Saben Lee,5,21,DET,8,0,8.8,0.6,1.8,0.35700000000000004,0.0,0.1,0.0,0.6,1.6,0.385,0.35700000000000004,1.0,1.3,0.8,0.1,0.3,0.4,1.0,0.5,0.1,0.6,1.1,2.3,7.0,0.489,0.071,0.7140000000000001,1.5,3.3,2.4,16.0,2.8,1.3,21.4,14.5,0.0,0.1,0.0,0.012,-6.4,0.9,-5.5,-0.1
Kira Lewis Jr.,5,19,NOP,17,0,13.1,2.1,5.1,0.402,0.6,1.7,0.379,1.4,3.4,0.414,0.466,0.8,1.2,0.65,0.1,0.8,0.9,1.8,0.6,0.1,0.5,1.0,5.5,11.7,0.491,0.33299999999999996,0.23,1.0,6.5,3.7,18.7,2.2,0.5,7.7,19.8,0.1,0.1,0.2,0.049,-2.6,-1.2,-3.8,-0.1
