Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Moses Brown,0,21,OKC,7,0,4.4,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,1.0,2.0,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0,33.5,0.65,0.0,1.4,13.6,36.5,25.2,16.4,1.5,11.3,5.8,24.0,0.1,0.1,0.2,0.34,5.3,3.8,9.1,0.1
Thomas Bryant,0,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.7140000000000001,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,18.8,0.7040000000000001,0.231,0.264,6.7,17.2,11.8,8.7,0.7,2.6,9.8,17.2,0.7,0.2,0.9,0.157,2.1,-1.7,0.4,0.2
Clint Capela,0,26,ATL,25,25,29.3,6.3,10.9,0.579,0.0,0.0,0.0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14.0,1.0,0.8,2.2,1.4,2.3,14.3,23.1,0.5820000000000001,0.0,0.282,17.0,34.4,25.8,5.4,1.3,6.4,10.2,19.9,1.4,1.3,2.7,0.179,2.0,0.4,2.4,0.8
Vernon Carey Jr.,0,19,CHO,3,0,2.0,0.3,1.0,0.33299999999999996,0.0,0.3,0.0,0.3,0.7,0.5,0.33299999999999996,0.3,0.7,0.5,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0,29.8,0.387,0.33299999999999996,0.667,35.0,18.1,26.7,24.5,0.0,16.8,0.0,27.5,0.0,0.0,0.0,0.19699999999999998,7.5,-0.1,7.4,0.0
Wendell Carter Jr.,0,21,CHI,16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3.0,13.0,17.1,0.613,0.109,0.522,9.3,22.9,16.2,11.8,1.2,2.3,15.4,20.1,0.7,0.5,1.2,0.134,-1.0,-0.4,-1.4,0.1
Willie Cauley-Stein,0,27,DAL,26,10,17.5,2.4,3.8,0.626,0.0,0.2,0.2,2.3,3.6,0.649,0.631,1.1,1.7,0.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9,14.8,0.6459999999999999,0.051,0.444,7.9,21.2,14.5,6.2,1.0,4.0,10.6,12.8,0.9,0.4,1.3,0.13699999999999998,-1.8,0.5,-1.4,0.1
DeMarcus Cousins,0,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6,15.1,0.511,0.552,0.281,6.2,34.1,20.0,17.9,2.0,3.1,14.2,23.1,-0.1,1.1,1.0,0.094,-1.5,1.9,0.4,0.3
Ed Davis,0,31,MIN,19,7,13.9,0.9,2.3,0.419,0.0,0.0,0.0,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3,12.2,0.462,0.0,0.18600000000000003,14.7,25.4,19.8,9.3,1.8,3.1,11.4,8.4,0.3,0.3,0.6,0.11699999999999999,-3.8,0.4,-3.4,-0.1
Gorgui Dieng,0,31,MEM,19,1,17.7,2.6,4.9,0.532,1.1,2.1,0.5,1.6,2.8,0.556,0.638,1.4,1.6,0.8390000000000001,1.4,3.4,4.8,1.4,0.8,0.7,1.1,1.8,7.7,18.6,0.6779999999999999,0.426,0.33,8.6,21.6,14.9,10.6,2.3,3.6,15.7,16.1,0.7,0.5,1.2,0.16899999999999998,1.2,0.8,2.0,0.3
Andre Drummond,0,27,CLE,25,25,28.9,7.2,15.2,0.474,0.0,0.3,0.0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,20.9,0.5,0.021,0.33899999999999997,15.0,37.5,25.9,15.8,2.7,3.6,15.6,30.8,-0.6,1.3,0.7,0.047,-0.5,0.2,-0.3,0.3
Joel Embiid,0,26,PHI,23,23,32.5,9.4,17.5,0.54,1.2,3.0,0.397,8.3,14.5,0.569,0.573,9.7,11.3,0.851,1.9,8.9,10.8,3.1,1.3,1.2,3.4,2.5,29.7,30.8,0.6609999999999999,0.16899999999999998,0.649,6.7,28.9,18.2,16.6,1.9,3.3,13.3,33.6,2.9,1.3,4.3,0.273,6.4,1.5,7.9,1.9
Drew Eubanks,0,23,SAS,11,0,12.6,1.5,3.4,0.43200000000000005,0.0,0.0,0.0,1.5,3.4,0.43200000000000005,0.43200000000000005,1.1,1.5,0.75,0.6,2.7,3.4,0.4,0.1,1.4,0.5,1.3,4.0,12.4,0.5,0.0,0.43200000000000005,5.1,23.0,13.8,3.8,0.3,9.2,10.2,15.1,0.0,0.2,0.2,0.079,-3.9,1.1,-2.8,0.0
Tacko Fall,0,25,BOS,6,0,8.2,1.3,2.0,0.667,0.0,0.0,0.0,1.3,2.0,0.667,0.667,0.5,1.3,0.375,1.3,2.2,3.5,0.0,0.0,1.3,0.2,1.5,3.2,22.5,0.612,0.0,0.667,17.8,30.3,23.9,0.0,0.0,15.1,6.1,14.4,0.1,0.1,0.2,0.21899999999999997,-0.1,1.6,1.4,0.0
Derrick Favors,0,29,UTA,27,0,16.4,2.4,3.9,0.629,0.0,0.0,0.0,2.4,3.9,0.635,0.629,1.4,1.7,0.804,2.1,3.5,5.6,0.9,0.6,1.1,0.6,2.5,6.3,20.6,0.675,0.01,0.43799999999999994,14.0,21.4,17.9,8.0,1.6,5.2,11.3,13.6,1.4,0.9,2.4,0.257,0.4,2.2,2.6,0.5
Cristiano Felico,0,28,CHI,6,0,6.3,0.5,0.7,0.75,0.0,0.0,0.0,0.5,0.7,0.75,0.75,0.8,1.3,0.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8,18.1,0.731,0.0,2.0,17.9,17.2,17.5,16.5,2.5,0.0,28.5,11.8,0.1,0.0,0.2,0.195,1.8,1.8,3.6,0.1
Bruno Fernando,0,22,ATL,15,0,8.8,0.6,1.5,0.409,0.0,0.1,0.0,0.6,1.3,0.45,0.409,0.6,1.0,0.6,0.8,2.7,3.5,0.6,0.1,0.1,0.8,1.0,1.8,7.4,0.47200000000000003,0.091,0.682,9.9,32.3,21.2,9.1,0.7,1.3,29.6,13.1,-0.1,0.2,0.0,0.006999999999999999,-4.7,-0.3,-5.0,-0.1
Marc Gasol,0,36,LAL,29,29,20.0,1.4,3.4,0.4,0.7,2.0,0.35100000000000003,0.7,1.5,0.465,0.5,0.8,0.9,0.88,0.8,3.4,4.2,1.8,0.4,1.2,0.8,2.4,4.2,10.3,0.55,0.57,0.25,4.6,18.5,11.8,11.5,1.0,5.3,17.8,10.1,0.4,1.2,1.5,0.127,-2.3,2.5,0.2,0.3
Harry Giles,0,22,POR,22,0,11.8,1.2,2.8,0.419,0.1,0.4,0.375,1.0,2.5,0.426,0.444,0.6,0.8,0.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1,11.3,0.486,0.129,0.29,9.8,35.6,22.1,10.2,0.9,3.2,18.6,14.2,0.0,0.3,0.3,0.061,-4.3,-0.5,-4.7,-0.2
Rudy Gobert,0,28,UTA,29,29,30.3,5.4,8.5,0.64,0.0,0.0,0.0,5.4,8.5,0.642,0.64,3.3,5.8,0.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2,23.2,0.644,0.004,0.6759999999999999,12.9,33.2,23.5,6.3,0.7,7.1,12.8,18.0,2.2,2.1,4.3,0.237,1.7,2.0,3.6,1.3
