Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Elijah Hughes,6,22,UTA,6,0,4.5,0.8,2.5,0.33299999999999996,0.5,1.7,0.3,0.3,0.8,0.4,0.433,0.5,0.7,0.75,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7,9.8,0.47700000000000004,0.667,0.267,0.0,15.0,7.9,16.7,1.8,3.0,19.3,33.0,-0.1,0.0,0.0,-0.059000000000000004,-3.2,-1.3,-4.5,0.0
De'Andre Hunter,6,23,ATL,18,18,32.2,6.0,11.7,0.514,1.7,4.6,0.366,4.3,7.1,0.609,0.586,3.6,4.1,0.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2,17.5,0.64,0.39,0.348,3.0,14.9,9.0,10.9,1.4,1.3,9.4,19.6,1.3,0.5,1.8,0.151,2.2,0.3,2.5,0.7
Chandler Hutchison,6,24,CHI,7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.33299999999999996,0.6,2.1,0.267,0.306,0.3,0.3,1.0,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9,0.5,0.344,0.16699999999999998,0.111,1.8,32.4,17.4,7.8,0.7,0.0,20.9,15.8,-0.2,0.1,-0.1,-0.10400000000000001,-9.4,-1.5,-10.9,-0.1
Andre Iguodala,6,37,MIA,26,2,21.2,1.6,4.3,0.369,1.0,3.3,0.318,0.5,1.0,0.5379999999999999,0.491,0.2,0.4,0.455,0.5,3.1,3.6,2.3,1.0,0.5,1.0,1.5,4.4,8.9,0.49200000000000005,0.7659999999999999,0.099,2.8,15.6,9.6,15.4,2.4,2.2,18.9,11.5,-0.2,0.8,0.6,0.053,-2.5,2.1,-0.4,0.2
Joe Ingles,6,33,UTA,25,8,26.6,4.1,7.9,0.518,2.4,5.3,0.451,1.7,2.6,0.6559999999999999,0.67,1.2,1.4,0.882,0.4,3.0,3.5,4.7,0.4,0.2,1.6,1.7,11.8,16.7,0.6940000000000001,0.675,0.17300000000000001,1.8,11.6,6.9,25.2,0.7,0.6,16.2,16.3,2.0,0.8,2.7,0.198,3.3,0.8,4.1,1.0
Brandon Ingram,6,23,NOP,28,28,34.8,8.2,17.5,0.466,2.5,6.3,0.4,5.7,11.3,0.503,0.5379999999999999,4.7,5.4,0.8740000000000001,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6,20.4,0.5920000000000001,0.35600000000000004,0.308,1.9,15.2,8.5,21.6,0.9,2.8,11.0,27.4,2.3,0.5,2.8,0.13699999999999998,4.3,-1.2,3.1,1.2
Wesley Iwundu,6,26,DAL,17,3,13.6,0.8,2.7,0.28300000000000003,0.2,1.4,0.13,0.6,1.4,0.435,0.315,0.5,0.6,0.8,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2,3.6,0.36700000000000005,0.5,0.217,2.4,13.3,7.8,4.4,1.5,0.8,7.4,10.3,-0.3,0.1,-0.1,-0.027999999999999997,-6.2,-0.2,-6.4,-0.3
Justin Jackson,6,25,OKC,18,2,18.0,2.9,6.4,0.457,1.2,3.3,0.35600000000000004,1.8,3.2,0.561,0.547,0.8,1.0,0.778,0.4,1.9,2.4,1.8,0.4,0.1,1.0,1.2,7.8,12.1,0.569,0.509,0.155,2.6,11.1,6.9,15.6,1.0,0.3,12.7,19.0,0.2,0.3,0.4,0.06,-1.2,-0.6,-1.8,0.0
Justin James,6,24,SAC,8,0,6.3,0.8,1.9,0.4,0.0,0.5,0.0,0.8,1.4,0.545,0.4,0.1,0.9,0.14300000000000002,0.3,0.6,0.9,0.4,0.1,0.1,0.0,0.1,1.6,6.6,0.36,0.267,0.467,4.3,11.1,7.7,7.9,1.0,1.7,0.0,15.4,-0.1,0.0,-0.1,-0.063,-4.3,-3.6,-7.9,-0.1
Keldon Johnson,6,21,SAS,27,27,30.1,5.3,11.4,0.46799999999999997,1.0,3.0,0.325,4.4,8.4,0.518,0.51,2.9,3.7,0.778,1.7,5.2,7.0,2.3,0.8,0.5,1.5,2.3,14.5,15.3,0.556,0.26,0.321,5.8,18.5,12.0,10.9,1.2,1.5,10.2,20.7,0.7,1.0,1.7,0.10099999999999999,-0.3,-0.7,-1.0,0.2
Derrick Jones Jr.,6,23,POR,24,23,27.1,2.8,6.0,0.47600000000000003,0.7,2.6,0.27399999999999997,2.1,3.4,0.63,0.535,1.3,2.0,0.612,1.8,2.9,4.7,0.7,0.8,0.9,0.7,2.6,7.6,11.3,0.556,0.434,0.34299999999999997,6.9,11.8,9.3,3.5,1.5,3.2,8.9,11.9,0.7,0.4,1.1,0.078,-2.3,-0.5,-2.8,-0.1
Kevin Knox,6,21,NYK,23,0,16.2,1.9,4.9,0.389,1.1,2.9,0.379,0.8,2.0,0.40399999999999997,0.5,0.4,0.5,0.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3,8.1,0.52,0.584,0.106,2.6,10.8,6.7,6.6,1.1,1.6,11.9,15.9,-0.1,0.4,0.3,0.043,-2.0,-0.4,-2.4,0.0
Rodions Kurucs,6,22,HOU,9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.16699999999999998,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1.0,0.2,0.6,0.2,0.8,0.8,1.4,3.2,0.38299999999999995,0.7,0.1,2.9,14.6,8.8,7.0,3.2,2.4,25.1,16.3,-0.2,0.1,-0.1,-0.079,-8.5,1.9,-6.6,-0.1
Rodions Kurucs,6,22,HOU,9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.16699999999999998,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1.0,0.2,0.6,0.2,0.8,0.8,1.4,7.6,0.5,0.667,0.0,0.0,19.9,10.5,14.9,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.075,-1.2,0.4,-0.8,0.0
Rodions Kurucs,6,22,HOU,9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.16699999999999998,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1.0,0.2,0.6,0.2,0.8,0.8,1.4,2.0,0.364,0.706,0.11800000000000001,3.7,13.1,8.4,4.8,4.1,3.0,28.1,18.6,-0.3,0.1,-0.1,-0.122,-10.6,2.3,-8.3,-0.1
